model,dtype,kernel,tokens,qp,repetitions,total_median_us,total_min_us,total_max_us,p95_rank_max_median_us,total_runs_us
v4_pro,fp8,v2,64,8,3,240.05177732685516,238.81664795094522,245.80731384199242,246.5463951230049,"[238.81664795094522, 240.05177732685516, 245.80731384199242]"
v4_pro,fp8,v2,256,1,3,430.4495112296065,428.7211820964926,431.01132441119387,439.93439972400665,"[428.7211820964926, 431.01132441119387, 430.4495112296065]"
v4_pro,fp8,v2,256,2,3,428.5947331227362,427.91180479629287,10219.537447704452,446.21438682079315,"[427.91180479629287, 428.5947331227362, 10219.537447704452]"
v4_pro,fp8,v2,256,4,3,412.1923162762461,407.6639060733904,413.5910134345036,430.90299665927887,"[407.6639060733904, 413.5910134345036, 412.1923162762461]"
v4_pro,fp8,v2,256,8,3,426.2685774472253,419.97708287090063,427.03344907354693,438.1985932588577,"[419.97708287090063, 426.2685774472253, 427.03344907354693]"
v4_pro,fp8,v2,1024,1,3,1244.0992766541654,1243.3140150046554,11528.12139722037,1284.0904235839844,"[11528.12139722037, 1244.0992766541654, 1243.3140150046554]"
v4_pro,fp8,v2,1024,2,3,1245.7165362249161,1237.1598198239146,1267.4348870420765,1295.0502157211304,"[1267.4348870420765, 1245.7165362249161, 1237.1598198239146]"
v4_pro,fp8,v2,1024,4,3,1182.6255457026177,1180.8765423965865,1182.8496449723325,1219.5489883422852,"[1182.6255457026177, 1182.8496449723325, 1180.8765423965865]"
v4_pro,fp8,v2,1024,8,3,1077.5908333217276,1067.283364719358,1079.1747552695974,1156.125384569168,"[1067.283364719358, 1079.1747552695974, 1077.5908333217276]"
v4_pro,fp8,v2,4096,1,3,4291.622712951282,4289.884772023251,4294.643818561373,4322.953176498413,"[4291.622712951282, 4294.643818561373, 4289.884772023251]"
v4_pro,fp8,v2,4096,2,3,5205.715438929097,5179.516540005289,5232.846801137102,5615.358304977417,"[5232.846801137102, 5205.715438929097, 5179.516540005289]"
v4_pro,fp8,v2,4096,4,3,4838.429473854345,4811.152557103798,4902.2851370531935,5295.72172164917,"[4838.429473854345, 4811.152557103798, 4902.2851370531935]"
v4_pro,fp8,v2,4096,8,3,4037.6175009998783,3935.82983314991,4051.9544429563243,4306.55460357666,"[4051.9544429563243, 3935.82983314991, 4037.6175009998783]"
v4_pro,fp8,v2,8192,1,3,8372.092924241362,8358.75272031488,8379.086674287402,8424.750804901123,"[8372.092924241362, 8379.086674287402, 8358.75272031488]"
v4_pro,fp8,v2,8192,2,3,9572.135891379981,9571.6123478166,51417.1057312653,10671.547985076904,"[51417.1057312653, 9572.135891379981, 9571.6123478166]"
v4_pro,fp8,v2,8192,4,3,8954.003763866836,8906.255100821627,23275.748724053647,9991.661882400513,"[8954.003763866836, 23275.748724053647, 8906.255100821627]"
v4_pro,fp8,v2,8192,8,3,7184.113644577306,7179.322765818958,7231.219179928303,7661.04679107666,"[7231.219179928303, 7179.322765818958, 7184.113644577306]"
v4_pro,fp8,v2,16384,1,3,16729.034146358226,16724.95038756009,16734.730373168815,16810.729789733887,"[16724.95038756009, 16729.034146358226, 16734.730373168815]"
v4_pro,fp8,v2,16384,2,3,19556.31885754651,19459.20769305065,19688.978688470248,21731.94284439087,"[19459.20769305065, 19556.31885754651, 19688.978688470248]"
v4_pro,fp8,v2,16384,4,3,17072.163769911076,16914.072468363007,17090.919138028705,18486.207008361816,"[17090.919138028705, 16914.072468363007, 17072.163769911076]"
v4_pro,fp8,v2,16384,8,3,14554.329502685317,14487.831027343356,14973.511365467104,20921.796894073465,"[14973.511365467104, 14487.831027343356, 14554.329502685317]"
v4_pro,fp8,v2_ll,4,1,3,94.5926657235571,93.39313771864721,114.78058816383368,100.7093995809555,"[114.78058816383368, 94.5926657235571, 93.39313771864721]"
v4_pro,fp8,v2_ll,4,2,3,106.9357713026091,103.05144155301667,110.18420011607995,124.82940256595607,"[106.9357713026091, 110.18420011607995, 103.05144155301667]"
v4_pro,fp8,v2_ll,4,4,3,122.13965705274765,120.76934240758419,130.46496311716479,129.69240173697472,"[120.76934240758419, 122.13965705274765, 130.46496311716479]"
